Amphibian,"Amphibian Amphibians are four-limbed and ectothermic vertebrates of the class Amphibia. All living amphibians belong to the group Lissamphibia. They inhabit a wide variety of habitats, with most species living within terrestrial, fossorial, arboreal or freshwater aquatic ecosystems. Thus amphibians typically start out as larvae living in water, but some species have developed behavioural adaptations to bypass this. AmphibiansTemporal range: Early Carboniferous – present, Leaf green tree frogAnaschismaEastern newtMexican burrowing caecilian Scientific classification Domain: Eukaryota Kingdom: Animalia Phylum: Chordata Clade: Batrachomorpha Class: AmphibiaGray 1825 Subclasses †Lepospondyli †Temnospondyli Lissamphibia (modern amphibians) Anura (frogs) Caudata (salamanders) Gymnophiona (caecilians) †Albanerpetontidae The young generally undergo metamorphosis from larva with gills to an adult air-breathing form with lungs. Amphibians use their skin as a secondary respiratory surface and some small terrestrial salamanders and frogs lack lungs and rely entirely on their skin. They are superficially similar to reptiles like lizards but, along with mammals and birds, reptiles are amniotes and do not require water bodies in which to breed. With their complex reproductive needs and permeable skins, amphibians are often ecological indicators; in recent decades there has been a dramatic decline in amphibian populations for many species around the globe. The earliest amphibians evolved in the Devonian period from sarcopterygian fish with lungs and bony-limbed fins, features that were helpful in adapting to dry land. They diversified and became dominant during the Carboniferous and Permian periods, but were later displaced by reptiles and other vertebrates. The origin of modern amphibians belonging to Lissamphibia, which first appeared during the Early Triassic, around 250 million years ago, has long been contentious. However the emerging consensus is that they likely originated from temnospondyls, the most diverse group of prehistoric amphibians, during the Permian period. The three modern orders of amphibians are Anura (the frogs), Urodela (the salamanders), and Apoda (the caecilians). A fourth group, the Albanerpetontidae, became extinct around 2 million years ago. The number of known amphibian species is approximately 8,000, of which nearly 90% are frogs. The smallest amphibian (and vertebrate) in the world is a frog from New Guinea (Paedophryne amauensis) with a length of just 7.7 mm (0.30 in). The largest living amphibian is the 1.8 m (5 ft 11 in) South China giant salamander (Andrias sligoi), but this is dwarfed by prehistoric temnospondyls such as Mastodonsaurus which could reach up to 6 m (20 ft) in length. The study of amphibians is called batrachology, while the study of both reptiles and amphibians is called herpetology. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Anatomical terms of location,"Anatomical terms of location Standard anatomical terms of location are used to unambiguously describe the anatomy of animals, including humans. The terms, typically derived from Latin or Greek roots, describe something in its standard anatomical position. This position provides a definition of what is at the front (""anterior""), behind (""posterior"") and so on. As part of defining and describing terms, the body is described through the use of anatomical planes and anatomical axes. This article is part of a series onAnatomical terminology BoneLocationMicroanatomyMotionMuscleNeuroanatomy The meaning of terms that are used can change depending on whether an organism is bipedal or quadrupedal. Additionally, for some animals such as invertebrates, some terms may not have any meaning at all; for example, an animal that is radially symmetrical will have no anterior surface, but can still have a description that a part is close to the middle (""proximal"") or further from the middle (""distal""). International organisations have determined vocabularies that are often used as standards for subdisciplines of anatomy. For example, Terminologia Anatomica for humans and Nomina Anatomica Veterinaria for animals. These allow parties that use anatomical terms, such as anatomists, veterinarians, and medical doctors, to have a standard set of terms to communicate clearly the position of a structure. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Anfield,"Anfield Anfield is a football stadium in Anfield, Liverpool, Merseyside, England, which has a seating capacity of 53,394, making it the seventh largest football stadium in England. It has been the home of Liverpool since their formation in 1892. It was originally the home of Everton from 1884 to 1891, before they moved to Goodison Park after a dispute with the club president. AnfieldView from the Sir Kenny Dalglish StandFull nameAnfieldLocationAnfield, Liverpool, Merseyside, EnglandCoordinates53°25′51″N 2°57′39″WOwnerLiverpool F.C.OperatorLiverpool F.C.Executive suites64Capacity53,394Record attendance61,905 (Liverpool–Wolverhampton Wanderers, 2 February 1952)Field size101 by 68 metres (110.5 yd × 74.4 yd)SurfaceGrassMasterConstructionBuilt1884Opened1884Renovated1895, 1903, 1906, 1928, 1957, 1963, 1973, 1982, 1992, 1994, 1998, 2014–2016, 2021–2023TenantsEverton F.C. (1884–1892) Liverpool F.C. (1892–present) The stadium has four stands: the Spion Kop, the Main Stand, the Sir Kenny Dalglish Stand and the Anfield Road End. The record attendance of 61,905 was set at a match between Liverpool and Wolverhampton Wanderers in 1952. The ground converted to an all-seater stadium in 1994 as a result of the Taylor Report, which reduced its capacity. Two gates at the stadium are named after former Liverpool managers: Bill Shankly and Bob Paisley. Both managers have been honoured with statues outside the stadium: Shankly's unveiled in 1997 by the Kop Stand and Paisley's in 2020 by the Main Stand. The ground is 2 miles (3 km) from Liverpool Lime Street railway station. It was proposed in 2002 for the club to relocate to a new stadium in the adjacent Stanley Park, but after the acquisition of Liverpool F.C. by Fenway Sports Group in 2010 it was made clear this would not happen, with the decision being taken to expand Anfield instead. Construction for an extension to the main stand began on 8 December 2014. This extension, one of the largest all-seater single stands in European football, opened to the public on 9 September 2016, increasing the stadium capacity to 53,394. The Anfield Road Stand is currently being redeveloped to bring the stadium capacity to around 61,000. It is due to be completed in time for the 2023–24 season. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Animal,"Animal Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia. With few exceptions, animals consume organic material, breathe oxygen, are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development. As of 2022, 2.16 million living animal species have been described—of which around 1.05 million are insects, over 85,000 are molluscs, and around 65,000 are vertebrates—but it has been estimated there are around 7.77 million animal species in total. Animals range in length from 8.5 micrometres (0.00033 in) to 33.6 metres (110 ft). They have complex interactions with each other and their environments, forming intricate food webs. The scientific study of animals is known as zoology. AnimalsTemporal range: Cryogenian – present, Scientific classification Domain: Eukaryota Clade: Amorphea Clade: Obazoa (unranked): Opisthokonta (unranked): Holozoa (unranked): Filozoa Kingdom: AnimaliaLinnaeus, 1758 Subdivisions Bilateria (~30 phyla) Cnidaria Ctenophora Placozoa Porifera Synonyms Metazoa Haeckel 1874 Choanoblastaea Nielsen 2008 Gastrobionta Rothm. 1948 Zooaea Barkley 1939 Euanimalia Barkley 1939 Most living animal species are in Bilateria, a clade whose members have a bilaterally symmetric body plan. The Bilateria include the protostomes, containing animals such as nematodes, arthropods, flatworms, annelids and molluscs, and the deuterostomes, containing the echinoderms and the chordates, the latter including the vertebrates. Life forms interpreted as early animals were present in the Ediacaran biota of the late Precambrian. Many modern animal phyla became clearly established in the fossil record as marine species during the Cambrian explosion, which began around 539 million years ago. 6,331 groups of genes common to all living animals have been identified; these may have arisen from a single common ancestor that lived 650 million years ago. Historically, Aristotle divided animals into those with blood and those without. Carl Linnaeus created the first hierarchical biological classification for animals in 1758 with his Systema Naturae, which Jean-Baptiste Lamarck expanded into 14 phyla by 1809. In 1874, Ernst Haeckel divided the animal kingdom into the multicellular Metazoa (now synonymous with Animalia) and the Protozoa, single-celled organisms no longer considered animals. In modern times, the biological classification of animals relies on advanced techniques, such as molecular phylogenetics, which are effective at demonstrating the evolutionary relationships between taxa. Humans make use of many animal species, such as for food (including meat, milk, and eggs), for materials (such as leather and wool), as pets, and as working animals including for transport. Dogs have been used in hunting, as have birds of prey, while many terrestrial and aquatic animals were hunted for sports. Nonhuman animals have appeared in art from the earliest times and are featured in mythology and religion. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Ant,"Ant Ants are eusocial insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera. Ants evolved from vespoid wasp ancestors in the Cretaceous period. More than 13,800 of an estimated total of 22,000 species have been classified. They are easily identified by their geniculate (elbowed) antennae and the distinctive node-like structure that forms their slender waists. AntsTemporal range: Late Albian – Present Fire ants Scientific classification Domain: Eukaryota Kingdom: Animalia Phylum: Arthropoda Class: Insecta Order: Hymenoptera Infraorder: Aculeata Superfamily: Formicoidea Family: FormicidaeLatreille, 1809 Type species Formica rufaLinnaeus, 1761 Subfamilies Agroecomyrmecinae Amblyoponinae (incl. ""Apomyrminae"") Aneuretinae †Brownimeciinae Dolichoderinae Dorylinae Ectatomminae †Formiciinae Formicinae †Haidomyrmecinae Heteroponerinae Leptanillinae Martialinae Myrmeciinae (incl. ""Nothomyrmeciinae"") Myrmicinae Paraponerinae Ponerinae Proceratiinae Pseudomyrmecinae †Sphecomyrminae †Zigrasimeciinae Cladogram of subfamilies Martialinae Leptanillinae Amblyoponinae Paraponerinae Agroecomyrmecinae Ponerinae Proceratiinae Ecitoninae‡ Aenictinae‡ Dorylini‡ Aenictogitoninae‡ Cerapachyinae‡* Leptanilloidinae‡ Dolichoderinae Aneuretinae Pseudomyrmecinae Myrmeciinae Ectatomminae Heteroponerinae Myrmicinae Formicinae A phylogeny of the extant ant subfamilies. *Cerapachyinae is paraphyletic ‡ The previous dorylomorph subfamilies were synonymized under Dorylinae by Brady et al. in 2014 Ants form colonies that range in size from a few dozen predatory individuals living in small natural cavities to highly organised colonies that may occupy large territories and consist of millions of individuals. Larger colonies consist of various castes of sterile, wingless females, most of which are workers (ergates), as well as soldiers (dinergates) and other specialised groups. Nearly all ant colonies also have some fertile males called ""drones"" and one or more fertile females called ""queens"" (gynes). The colonies are described as superorganisms because the ants appear to operate as a unified entity, collectively working together to support the colony. Ants have colonised almost every landmass on Earth. The only places lacking indigenous ants are Antarctica and a few remote or inhospitable islands. Ants thrive in moist tropical ecosystems and may exceed the combined biomass of wild birds and mammals. Their success in so many environments has been attributed to their social organisation and their ability to modify habitats, tap resources, and defend themselves. Their long co-evolution with other species has led to mimetic, commensal, parasitic, and mutualistic relationships. Ant societies have division of labour, communication between individuals, and an ability to solve complex problems. These parallels with human societies have long been an inspiration and subject of study. Many human cultures make use of ants in cuisine, medication, and rites. Some species are valued in their role as biological pest control agents. Their ability to exploit resources may bring ants into conflict with humans, however, as they can damage crops and invade buildings. Some species, such as the red imported fire ant (Solenopsis invicta) of South America, are regarded as invasive species in other parts of the world, establishing themselves in areas where they have been introduced accidentally. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Antarctica,"Antarctica Antarctica (/ænˈtɑːrktɪkə/ (listen)) is Earth's southernmost and least-populated continent. Situated almost entirely south of the Antarctic Circle and surrounded by the Southern Ocean (also known as the Antarctic Ocean), it contains the geographic South Pole. Antarctica is the fifth-largest continent, being about 40% larger than Europe, and has an area of 14,200,000 km2 (5,500,000 sq mi). Most of Antarctica is covered by the Antarctic ice sheet, with an average thickness of 1.9 km (1.2 mi). AntarcticaArea14,200,000 km25,500,000 sq miPopulation1,000 to 5,000 (seasonal)Population density<0.01/km2<0.03/sq miInternet TLD.aqLargest settlementsMcMurdo StationOther research stationsUN M49 code010 Antarctica is, on average, the coldest, driest, and windiest of the continents, and it has the highest average elevation. It is mainly a polar desert, with annual precipitation of over 200 mm (8 in) along the coast and far less inland. About 70% of the world's freshwater reserves are frozen in Antarctica, which, if melted, would raise global sea levels by almost 60 metres (200 ft). Antarctica holds the record for the lowest measured temperature on Earth, −89.2 °C (−128.6 °F). The coastal regions can reach temperatures over 10 °C (50 °F) in summer. Native species of animals include mites, nematodes, penguins, seals and tardigrades. Where vegetation occurs, it is mostly in the form of lichen or moss. The ice shelves of Antarctica were probably first seen in 1820, during a Russian expedition led by Fabian Gottlieb von Bellingshausen and Mikhail Lazarev. The decades that followed saw further exploration in French, American, and British expeditions. The first confirmed landing was by a Norwegian team in 1895. In the early 20th century, there were a few expeditions into the interior of the continent. British explorers were the first to reach the magnetic South Pole in 1909, and the geographic South Pole was first reached in 1911 by Norwegian explorers. Antarctica is governed by about 30 countries, all of which are parties of the 1959 Antarctic Treaty System. According to the terms of the treaty, military activity, mining, nuclear explosions, and nuclear waste disposal are all prohibited in Antarctica. Tourism, fishing and research are the main human activities in and around Antarctica. During the summer months, about 5,000 people reside at research stations, a figure that drops to around 1,000 in the winter. Despite its remoteness, human activity has a significant impact on the continent via pollution, ozone depletion, and climate change. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Apollo 13,"Apollo 13 Apollo 13 (April 11–17, 1970) was the seventh crewed mission in the Apollo space program and the third meant to land on the Moon. The craft was launched from Kennedy Space Center on April 11, 1970, but the lunar landing was aborted after an oxygen tank in the service module (SM) failed two days into the mission. The crew instead looped around the Moon in a circumlunar trajectory and returned safely to Earth on April 17. The mission was commanded by Jim Lovell, with Jack Swigert as command module (CM) pilot and Fred Haise as Lunar Module (LM) pilot. Swigert was a late replacement for Ken Mattingly, who was grounded after exposure to rubella. Apollo 13Odyssey's damaged service module, as seen from the Apollo Lunar Module Aquarius, hours before reentryMission typeCrewed lunar landing attempt (H)OperatorNASACOSPAR IDCSM: 1970-029ALM: 1970-029CSATCAT no.4371Mission duration5 days, 22 hours, 54 minutes, 41 seconds Spacecraft propertiesSpacecraftApollo CSM-109Apollo LM-7ManufacturerCSM: North American RockwellLM: GrummanLaunch mass44,069 kg (CSM: 28,881 kg; LM: 15,188 kg)Landing mass5,050 kilograms (11,133 lb) CrewCrew size3MembersJames A. Lovell Jr.John L. Swigert Jr.Fred W. Haise Jr.CallsignCSM: OdysseyLM: Aquarius Start of missionLaunch dateApril 11, 1970, 19:13:00 (1970-04-11UTC19:13Z) UTCRocketSaturn V SA-508Launch siteKennedy LC-39A End of missionRecovered byUSS Iwo JimaLanding dateApril 17, 1970, 18:07:41 (1970-04-17UTC18:07:42Z) UTCLanding siteSouth Pacific Ocean21°38′24″S 165°21′42″W Flyby of Moon (orbit and landing aborted)Closest approachApril 15, 1970, 00:21:00 UTCDistance254 kilometers (137 nmi) Docking with LMDocking dateApril 11, 1970, 22:32:08 UTCUndocking dateApril 17, 1970, 16:43:00 UTC Jim Lovell, Jack Swigert, Fred HaiseApollo program  A routine stir of an oxygen tank ignited damaged wire insulation inside it, causing an explosion that vented the contents of both of the SM's oxygen tanks to space. Without oxygen, needed for breathing and for generating electric power, the SM's propulsion and life support systems could not operate. The CM's systems had to be shut down to conserve its remaining resources for reentry, forcing the crew to transfer to the LM as a lifeboat. With the lunar landing canceled, mission controllers worked to bring the crew home alive. Although the LM was designed to support two men on the lunar surface for two days, Mission Control in Houston improvised new procedures so it could support three men for four days. The crew experienced great hardship, caused by limited power, a chilly and wet cabin and a shortage of potable water. There was a critical need to adapt the CM's cartridges for the carbon dioxide scrubber system to work in the LM; the crew and mission controllers were successful in improvising a solution. The astronauts' peril briefly renewed public interest in the Apollo program; tens of millions watched the splashdown in the South Pacific Ocean on television. An investigative review board found fault with preflight testing of the oxygen tank and Teflon being placed inside it. The board recommended changes, including minimizing the use of potentially combustible items inside the tank; this was done for Apollo 14. The story of Apollo 13 has been dramatized several times, most notably in the 1995 film Apollo 13 based on Lost Moon, the 1994 memoir co-authored by Lovell – and an episode of the 1998 miniseries From the Earth to the Moon. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Apollo 8,"Apollo 8 Apollo 8 (December 21–27, 1968) was the first crewed spacecraft to leave low Earth orbit and the first human spaceflight to reach the Moon. The crew orbited the Moon ten times without landing, and then departed safely back to Earth. These three astronauts—Frank Borman, James Lovell, and William Anders—were the first humans to witness and photograph the far side of the Moon and an Earthrise. Apollo 8EarthriseTaken from Apollo 8 by William AndersMission typeCrewed lunar orbital CSM flight (C')OperatorNASACOSPAR ID1968-118A SATCAT no.3626Mission duration6 days, 3 hours, 42 seconds Spacecraft propertiesSpacecraftApollo CSM-103Apollo LTA-BManufacturerNorth American RockwellLaunch massCSM: 28,870 kilograms (63,650 lb)CM:5,621 kilograms (12,392 lb)SM:23,250 kilograms (51,258 lb)SC/LM Adapter (jettisoned; connects LTA to CSM; not part of the CSM craft): 1,840 kilograms (4,060 lb)LTA (not part of CSM; fixed to rocket): 9,000 kilograms (19,900 lb)Landing mass4,979 kilograms (10,977 lb) CrewCrew size3MembersFrank F. Borman IIJames A. Lovell Jr.William A. AndersCallsignApollo 8 Start of missionLaunch dateDecember 21, 1968, 12:51:00 (1968-12-21UTC12:51Z) UTCRocketSaturn V SA-503Launch siteKennedy LC-39A End of missionRecovered byUSS YorktownLanding dateDecember 27, 1968, 15:51:42 (1968-12-27UTC15:51:43Z) UTCLanding siteNorth Pacific Ocean8°8′N 165°1′W Orbital parametersPerigee altitude184.40 kilometers (99.57 nmi)Apogee altitude185.18 kilometers (99.99 nmi)Inclination32.15 degreesPeriod88.19 minutesEpochDecember 21, 1968, ~13:02 UTCRevolution no.2 Lunar orbiterSpacecraft componentCSMOrbital insertionDecember 24, 1968, 9:59:20 UTCOrbital departureDecember 25, 1968, 6:10:17 UTCOrbits10Orbital parametersPeriselene altitude110.6 kilometers (59.7 nmi)Aposelene altitude112.4 kilometers (60.7 nmi)Inclination12 degrees Left to right: Lovell, Anders, BormanApollo program  Apollo 8 launched on December 21, 1968, and was the second crewed spaceflight mission flown in the United States Apollo space program after Apollo 7, which stayed in Earth orbit. Apollo 8 was the third flight and the first crewed launch of the Saturn V rocket, and was the first human spaceflight from the Kennedy Space Center, located adjacent to Cape Kennedy Air Force Station in Florida. Originally planned as the second crewed Apollo Lunar Module and command module test, to be flown in an elliptical medium Earth orbit in early 1969, the mission profile was changed in August 1968 to a more ambitious command-module-only lunar orbital flight to be flown in December, as the lunar module was not yet ready to make its first flight. Astronaut Jim McDivitt's crew, who were training to fly the first lunar module flight in low Earth orbit, became the crew for the Apollo 9 mission, and Borman's crew were moved to the Apollo 8 mission. This left Borman's crew with two to three months' less training and preparation time than originally planned, and replaced the planned lunar module training with translunar navigation training. Apollo 8 took 68 hours to travel the distance to the Moon. The crew orbited the Moon ten times over the course of twenty hours, during which they made a Christmas Eve television broadcast in which they read the first ten verses from the Book of Genesis. At the time, the broadcast was the most watched TV program ever. Apollo 8's successful mission paved the way for Apollo 10 and, with Apollo 11 in July 1969, the fulfillment of U.S. president John F. Kennedy's goal of landing a man on the Moon before the end of the decade. The Apollo 8 astronauts returned to Earth on December 27, 1968, when their spacecraft splashed down in the northern Pacific Ocean. The crew members were named Time magazine's ""Men of the Year"" for 1968 upon their return. It is the last Apollo mission for which all three crew members are still living. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Arabic,"Arabic Arabic (اَلْعَرَبِيَّةُ, al-ʿarabiyyah [al ʕaraˈbijːa] (listen); عَرَبِيّ, ʿarabī [ˈʕarabiː] (listen) or [ʕaraˈbij]) is a Semitic language spoken primarily across the Arab world. Having emerged in the 1st century, it is named after the Arab people; the term ""Arab"" was initially used to describe those living in the Arabian Peninsula, as perceived by geographers from ancient Greece. Arabicاَلْعَرَبِيَّةُ‎al-ʿarabiyyahal-ʿarabiyyah in written Arabic (Naskh script)Pronunciation/ˈʕarabiː/, /alʕaraˈbijːa/Native toCountries of the Arab League, minorities in neighboring countries and some parts of Asia, Africa, EuropeEthnicityArabs and several peoples of the Middle East and North Africa (as a result of language shift)Speakers360 million native speakers of all varieties (2022)270 million L2 users of Modern Standard Arabic (2022)Language familyAfro-Asiatic SemiticWest SemiticCentral SemiticArabicEarly formsProto-Afroasiatic Proto-Semitic Proto-Arabic Old Arabic Old Hijazi Arabic Classical Arabic Standard forms Modern Standard Arabic Dialects Egyptian Sudanese Levantine Maghrebi Mesopotamian Peninsular Central Asian Chadian Shirvani † North Arabian † Writing system Arabic alphabet Latin script (Arabizi, Said Akl's alphabet, Hassaniya alphabet, Maltese alphabet, Cypriot Maronite Latin Alphabet) Hebrew alphabet (in Israel for Levantine) Greek script (Cypriot Maronite Greek Alphabet)Signed formsSigned Arabic (different national forms)Official statusOfficial language in 27 states and territories Algeria Bahrain Chad Comoros Djibouti Egypt Eritrea Iraq Jordan Kuwait Lebanon Libya Mauritania Morocco Oman Palestine Qatar Saudi Arabia Somalia Sudan Syria Tunisia United Arab Emirates Yemen Zanzibar (Tanzania) Sahrawi Arab Democratic Republic (partially recognized state) Somaliland (unrecognized state) International Organizations African Union Arab League Organisation of Islamic Cooperation United Nations Recognised minoritylanguage in List Cyprus Israel Mali Niger Philippines Senegal South Africa Regulated by List Algeria: Supreme Council of the Arabic language in Algeria Egypt: Academy of the Arabic Language in Cairo Israel: Academy of the Arabic Language in Israel Iraq: Iraqi Academy of Sciences Jordan: Jordan Academy of Arabic Libya: Academy of the Arabic Language in Jamahiriya Morocco: Academy of the Arabic Language in Rabat Saudi Arabia: Academy of the Arabic Language in Riyadh Somalia: Academy of the Arabic Language in Mogadishu Sudan: Academy of the Arabic Language in Khartoum Syria: Arab Academy of Damascus (the oldest) Tunisia: Beit Al-Hikma Foundation Language codesISO 639-1arISO 639-2araISO 639-3ara – inclusive codeIndividual codes:arq – Algerian Arabicaao – Algerian Saharan Arabicxaa – Andalusian Arabicbbz – Babalia Creole Arabicabv – Baharna Arabicshu – Chadian Arabicacy – Cypriot Arabicadf – Dhofari Arabicavl – Eastern Egyptian Bedawi Arabicarz – Egyptian Arabicafb – Gulf Arabicayh – Hadrami Arabicmey – Hassaniya Arabicacw – Hijazi Arabicayl – Libyan Arabicacm – Mesopotamian Arabicary – Moroccan Arabicars – Najdi Arabicapc – Levantine Arabicayp – North Mesopotamian Arabicacx – Omani Arabicaec – Saidi Arabicayn – Sanaani Arabicssh – Shihhi Arabicsqr – Siculo Arabicarb – Standard Arabicapd – Sudanese Arabicpga – Sudanese Creole Arabicacq – Taizzi-Adeni Arabicabh – Tajiki ArabicGlottologarab1395Linguasphere12-AACmajority language (dark blue); minority language (light blue) Since the 7th century, Arabic has been characterized by diglossia, with an opposition between a standard prestige language—i.e., Literary Arabic: Modern Standard Arabic (MSA) or Classical Arabic—and diverse vernacular varieties, which serve as mother tongues. Colloquial dialects vary significantly from MSA, impeding mutual intelligibility. MSA is only acquired through formal education and is not spoken natively. It is the language of literature, official documents, and formal written media. In spoken form, MSA is used in formal contexts, news bulletins and for prayers. This variety is the lingua franca of the Arab world and the liturgical language of Islam. It is an official language of 26 states and 1 disputed territory, the third most after English and French. It is also one of six official languages of the United Nations. Spoken varieties are the usual medium of communication in all other domains. They are not standardized and vary significantly, some of them being mutually unintelligible. The International Organization for Standardization assigns language codes to 33 varieties of Arabic, including MSA. Arabic vernaculars do not descend from MSA or Classical Arabic. Combined, Arabic dialects have 362 million native speakers, while MSA is spoken by 274 million L2 speakers, making it the sixth most spoken language in the world. Arabic is traditionally written with the Arabic alphabet, a right-to-left abjad. This alphabet is the official script for MSA. Colloquial varieties were traditionally not written; however, with the emergence of social media, the amount of written dialects has significantly increased online. Besides the Arabic alphabet, dialects are also often written in Latin from left to right or in Hebrew characters (in Israel) with no standardized orthography. Maltese and Hassaniya are the only varieties officially written in a Latin alphabet. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
Archaea,"Archaea Archaea (/ɑːrˈkiːə/ (listen) ar-KEE-ə; singular archaeon /ɑːrˈkiːən/ ar-KEE-ən) is a domain of single-celled organisms. These microorganisms lack cell nuclei and are therefore prokaryotes. Archaea were initially classified as bacteria, receiving the name archaebacteria (in the Archaebacteria kingdom), but this term has fallen out of use. ArchaeaTemporal range: Paleoarchean – present Scientific classification Domain: ArchaeaWoese, Kandler & Wheelis, 1990 Kingdoms ""DPANN"" ""Euryarchaeida"" ""Proteoarchaeota"" Synonyms Archaebacteria Woese & Fox, 1977 Mendosicutes Gibbons & Murray, 1978 Metabacteria Hori and Osawa 1979 Archaeal cells have unique properties separating them from the other two domains, Bacteria and Eukaryota. Archaea are further divided into multiple recognized phyla. Classification is difficult because most have not been isolated in a laboratory and have been detected only by their gene sequences in environmental samples. It is unknown if these are able to produce endospores. Archaea and bacteria are generally similar in size and shape, although a few archaea have very different shapes, such as the flat, square cells of Haloquadratum walsbyi. Despite this morphological similarity to bacteria, archaea possess genes and several metabolic pathways that are more closely related to those of eukaryotes, notably for the enzymes involved in transcription and translation. Other aspects of archaeal biochemistry are unique, such as their reliance on ether lipids in their cell membranes, including archaeols. Archaea use more diverse energy sources than eukaryotes, ranging from organic compounds such as sugars, to ammonia, metal ions or even hydrogen gas. The salt-tolerant Haloarchaea use sunlight as an energy source, and other species of archaea fix carbon (autotrophy), but unlike plants and cyanobacteria, no known species of archaea does both. Archaea reproduce asexually by binary fission, fragmentation, or budding; unlike bacteria, no known species of Archaea form endospores. The first observed archaea were extremophiles, living in extreme environments such as hot springs and salt lakes with no other organisms. Improved molecular detection tools led to the discovery of archaea in almost every habitat, including soil, oceans, and marshlands. Archaea are particularly numerous in the oceans, and the archaea in plankton may be one of the most abundant groups of organisms on the planet. Archaea are a major part of Earth's life. They are part of the microbiota of all organisms. In the human microbiome, they are important in the gut, mouth, and on the skin. Their morphological, metabolic, and geographical diversity permits them to play multiple ecological roles: carbon fixation; nitrogen cycling; organic compound turnover; and maintaining microbial symbiotic and syntrophic communities, for example. No clear examples of archaeal pathogens or parasites are known. Instead they are often mutualists or commensals, such as the methanogens (methane-producing strains) that inhabit the gastrointestinal tract in humans and ruminants, where their vast numbers facilitate digestion. Methanogens are also used in biogas production and sewage treatment, and biotechnology exploits enzymes from extremophile archaea that can endure high temperatures and organic solvents. This article is issued from Wikipedia. The text is licensed under Creative Commons - Attribution - Sharealike. Additional terms may apply for the media files."
